bedrooms,bathrooms,floors,waterfront,view,grade,sqft_above,lat,price,sqft_total
3,1.0,1.0,0,0,7,1180,47.5112,221900,1340
3,2.25,2.0,0,0,7,2170,47.721,538000,2090
2,1.0,1.0,0,0,6,770,47.7379,180000,2720
4,3.0,1.0,0,0,7,1050,47.5208,604000,2270
3,2.0,1.0,0,0,8,1680,47.6168,510000,1800
4,4.5,1.0,0,0,11,3890,47.6561,1230000,6290
3,2.25,2.0,0,0,7,1715,47.3097,257500,2238
3,1.5,1.0,0,0,7,1060,47.4095,291850,1650
3,1.0,1.0,0,0,7,1050,47.5123,229500,2510
3,2.5,2.0,0,0,7,1890,47.3684,323000,2390
3,2.5,1.0,0,0,8,1860,47.6007,662500,3910
2,1.0,1.0,0,0,7,860,47.69,468000,1630
3,1.0,1.5,0,0,7,1430,47.7558,310000,1780
3,1.75,1.0,0,0,7,1370,47.6127,400000,1370
5,2.0,1.5,0,0,7,1810,47.67,530000,1360
4,3.0,2.0,0,3,9,1980,47.5714,650000,3110
3,2.0,2.0,0,0,7,1890,47.7277,395000,1890
4,1.0,1.5,0,0,7,1600,47.6648,485000,1610
2,1.0,1.0,0,0,7,1200,47.3089,189000,1060
3,1.0,1.0,0,0,7,1250,47.3343,230000,1280
4,1.75,1.0,0,0,7,860,47.7025,385000,2160
3,2.75,1.0,0,4,9,2330,47.5316,2000000,4830
5,2.5,2.0,0,0,8,2270,47.3266,285000,2240
2,1.5,1.0,0,0,7,1070,47.3533,252700,1220
3,2.25,2.0,0,0,8,2450,47.3739,329000,2200
3,2.0,1.5,0,0,6,1710,47.3048,233000,1030
3,1.75,2.0,0,0,8,1750,47.6386,937000,2460
3,1.0,1.5,0,0,8,1400,47.6221,667000,1860
3,1.75,1.0,0,0,7,790,47.695,438000,2250
4,2.5,2.0,0,0,8,2570,47.7073,719000,2630
3,2.5,2.0,0,0,8,2320,47.5391,580500,2580
2,1.5,3.0,0,0,7,1190,47.7274,280000,1390
4,1.75,1.5,0,0,7,1510,47.6823,687500,2280
3,1.0,1.5,0,0,8,1090,47.6889,535000,1570
4,2.75,1.0,0,0,7,1280,47.4276,322500,2800
3,2.5,1.5,0,0,8,1510,47.6827,696000,2380
4,1.0,1.0,0,0,5,930,47.6621,550000,2890
4,2.0,2.0,0,0,8,2360,47.6702,640000,1730
4,1.0,1.0,0,0,7,890,47.3341,240000,1620
4,2.5,2.0,0,0,8,2620,47.5301,605000,2620
4,2.5,2.0,0,0,9,2570,47.6145,625000,2470
4,2.25,1.0,0,0,8,2600,47.445,775000,4030
5,2.75,2.0,0,0,9,3595,47.6848,861990,3625
3,1.0,2.0,0,0,7,1570,47.6413,685000,1580
3,1.0,1.0,0,0,6,920,47.4485,309000,1700
3,2.5,2.0,0,0,8,3160,47.7443,488000,3050
3,1.0,1.0,0,0,6,990,47.3066,210490,1228
4,2.5,2.0,0,0,9,2290,47.6194,785000,2680
3,1.75,1.0,0,0,7,1250,47.6796,450000,970
3,2.5,1.0,1,2,9,2165,47.4041,1350000,3268
3,1.0,1.0,0,0,7,1190,47.4258,228000,1190
5,2.5,1.0,0,0,8,1640,47.4934,345000,3500
3,1.75,1.0,0,0,7,1000,47.6808,600000,1820
2,1.75,1.0,0,0,7,990,47.6989,585000,2470
5,2.25,1.5,0,0,8,2130,47.6571,920000,3330
4,2.5,2.0,0,0,9,2830,47.6597,885000,1950
4,2.5,2.0,0,0,7,2250,47.3663,292500,2250
3,2.5,2.0,0,0,8,2420,47.3663,301000,2690
5,3.25,2.0,0,4,8,3250,47.588,951000,2960
4,3.0,2.0,0,0,8,1850,47.5059,430000,2270
3,2.25,1.0,0,3,8,1590,47.4336,650000,3130
3,1.75,1.0,0,0,7,1260,47.4366,289000,1290
3,1.75,2.0,0,0,8,2519,47.4428,505000,2500
3,1.75,3.0,0,0,8,1540,47.6765,549000,1580
3,2.25,1.0,0,0,7,1110,47.6113,425000,1990
3,2.75,1.5,0,0,7,1770,47.5747,317625,2440
4,2.5,2.0,0,0,10,2720,47.5815,975000,2750
4,2.5,2.0,0,0,7,2240,47.3378,287000,2221
3,1.0,1.0,0,0,7,1000,47.3621,204000,1010
5,2.25,1.0,0,0,8,1600,47.6303,1330000,4990
5,3.25,1.0,0,0,11,3070,47.6525,1040000,5230
3,2.0,1.0,0,0,7,1260,47.7362,325000,1640
4,2.0,1.5,0,0,7,2250,47.7168,571000,2010
4,2.5,2.0,0,0,8,2380,47.3608,360000,2420
3,1.75,1.0,0,0,7,1090,47.3511,349000,2640
4,4.0,2.0,0,0,10,2390,47.5822,832500,4280
4,1.75,1.0,0,0,7,880,47.6034,380000,2560
3,1.0,1.0,0,0,7,1040,47.5636,480000,890
3,1.0,1.0,0,0,7,910,47.7073,410000,1630
4,2.5,2.0,0,0,10,3450,47.342,720000,3350
3,2.5,2.0,0,0,8,2350,47.3512,390000,2350
4,2.5,2.0,0,0,7,1900,47.349,360000,1870
2,1.0,1.0,0,0,7,1010,47.5474,355000,2730
3,1.5,1.0,0,0,8,1680,47.4811,356000,1850
3,1.0,1.0,0,0,6,960,47.7264,315000,1570
3,1.5,2.0,0,0,9,1900,47.6337,940000,2260
5,2.25,1.5,0,0,7,2660,47.2909,305000,1590
3,3.25,2.0,0,0,9,1980,47.5228,461000,2690
2,2.25,2.0,0,0,7,1610,47.518,215000,1950
2,1.75,2.0,0,0,7,765,47.5394,335000,1295
4,2.5,2.0,0,0,7,1980,47.2897,243500,1980
5,2.75,2.0,0,0,10,3520,47.6506,1100000,2520
3,1.0,1.0,0,0,7,1200,47.322,153000,1350
3,1.5,1.0,0,0,8,1290,47.687,430000,1860
3,1.5,1.0,0,0,8,1290,47.687,700000,1860
4,2.5,1.0,0,0,7,2390,47.5873,905000,2860
3,1.75,1.0,0,0,7,1960,47.3576,247500,1750
4,1.5,1.0,0,0,7,1160,47.3036,199000,1160
3,1.75,1.0,0,0,7,1210,47.4109,314000,2250
3,2.5,2.0,0,2,9,2320,47.4838,437500,2550
3,2.5,1.5,0,0,9,1270,47.6415,850830,3000
3,2.0,1.5,0,0,7,1440,47.6775,555000,2150
3,2.25,2.0,0,0,8,2190,47.7731,699950,2570
3,2.5,2.0,0,0,8,2920,47.5814,1090000,2370
3,1.0,1.0,0,0,7,1210,47.4375,290000,1640
3,2.5,1.0,0,0,8,1460,47.4431,375000,3130
3,1.0,1.5,0,0,7,1170,47.6878,460000,1740
2,1.75,1.0,0,0,8,1240,47.3813,188500,1270
4,2.5,2.0,0,0,10,3140,47.7304,680000,2990
5,1.75,2.0,0,0,7,2030,47.6417,470000,2500
4,2.5,2.0,0,0,8,2310,47.5386,597750,1940
3,1.75,1.0,0,0,6,700,47.6823,570000,1940
3,1.75,1.0,0,0,7,1160,47.3624,272500,1920
3,1.75,1.0,0,2,7,1080,47.5474,329950,3090
4,2.5,2.0,0,3,9,2520,47.3183,480000,3350
3,3.5,2.0,0,0,8,2780,47.6981,740500,3430
3,3.5,3.0,0,0,8,1590,47.6824,518500,1620
2,1.0,1.0,0,0,6,880,47.5009,205425,1190
4,2.0,1.0,0,0,6,1570,47.4965,171800,1880
4,1.0,1.5,0,0,7,1610,47.587,535000,1610
3,2.5,1.0,0,2,8,1560,47.7728,660000,3180
3,2.0,1.0,0,0,7,1450,47.7288,391500,1580
2,1.0,1.0,0,0,6,770,47.6999,395000,1710
4,1.75,1.5,0,0,7,1720,47.5299,445000,2230
3,2.25,2.0,0,0,9,2910,47.6897,770000,2700
4,2.75,1.5,0,0,8,1980,47.6141,1450000,3830
3,2.25,1.0,0,2,8,1620,47.5091,445000,3140
4,2.25,1.0,0,0,8,1360,47.3129,260000,2890
5,3.5,2.0,0,0,7,1720,47.6763,822500,2300
4,2.5,2.0,0,0,7,2070,47.5319,430000,1970
3,1.75,1.0,0,0,7,1060,47.2761,212000,1420
4,2.25,1.0,0,0,8,1440,47.5343,660500,2630
3,3.5,1.5,0,0,9,2460,47.697,784000,3970
3,2.5,2.0,0,0,8,1390,47.5517,453246,2310
