bedrooms,bathrooms,floors,view,grade,sqft_above,lat,price,zipcode_mean,sqft_total
3,1.0,1.0,0,7,1180,47.5112,221900,310612.75572519086,1340
3,2.25,2.0,0,7,2170,47.721,538000,469928.76772616134,2090
2,1.0,1.0,0,6,770,47.7379,180000,462488.8692579505,2720
4,3.0,1.0,0,7,1050,47.5208,604000,551768.5209125475,2270
3,2.0,1.0,0,8,1680,47.6168,510000,685675.8435374149,1800
4,4.5,1.0,0,11,3890,47.6561,1230000,677215.034739454,6290
3,2.25,2.0,0,7,1715,47.3097,257500,294111.27857142856,2238
3,1.5,1.0,0,7,1060,47.4095,291850,302896.7392857143,1650
3,1.0,1.0,0,7,1050,47.5123,229500,359496.2604166667,2510
3,2.5,2.0,0,7,1890,47.3684,323000,367091.48387096776,2390
3,2.5,1.0,0,8,1860,47.6007,662500,617254.0212765958,3910
2,1.0,1.0,0,7,860,47.69,468000,619944.1492281304,1630
3,1.0,1.5,0,7,1430,47.7558,310000,462488.8692579505,1780
3,1.75,1.0,0,7,1370,47.6127,400000,685675.8435374149,1370
5,2.0,1.5,0,7,1810,47.67,530000,579109.8082706766,1360
4,3.0,2.0,3,9,1980,47.5714,650000,424734.60451977403,3110
3,2.0,2.0,0,7,1890,47.7277,395000,424815.06315789477,1890
4,1.0,1.5,0,7,1600,47.6648,485000,585048.7790697674,1610
2,1.0,1.0,0,7,1200,47.3089,189000,234284.0351758794,1060
3,1.0,1.0,0,7,1250,47.3343,230000,294111.27857142856,1280
4,1.75,1.0,0,7,860,47.7025,385000,387011.5902636917,2160
3,2.75,1.0,4,9,2330,47.5316,2000000,1194873.6382978724,4830
5,2.5,2.0,0,8,2270,47.3266,285000,334921.0626780627,2240
2,1.5,1.0,0,7,1070,47.3533,252700,296187.98046875,1220
3,2.25,2.0,0,8,2450,47.3739,329000,296187.98046875,2200
3,2.0,1.5,0,6,1710,47.3048,233000,234284.0351758794,1030
3,1.75,2.0,0,8,1750,47.6386,937000,849714.8097826086,2460
3,1.0,1.5,0,8,1400,47.6221,667000,1096239.0074349442,1860
3,1.75,1.0,0,7,790,47.695,438000,619944.1492281304,2250
4,2.5,2.0,0,8,2570,47.7073,719000,645244.2264808363,2630
3,2.5,2.0,0,8,2320,47.5391,580500,617053.9660194175,2580
2,1.5,3.0,0,7,1190,47.7274,280000,387011.5902636917,1390
4,1.75,1.5,0,7,1510,47.6823,687500,576834.808318264,2280
3,1.0,1.5,0,8,1090,47.6889,535000,576834.808318264,1570
4,2.75,1.0,0,7,1280,47.4276,322500,353619.07472527475,2800
3,2.5,1.5,0,8,1510,47.6827,696000,619944.1492281304,2380
4,1.0,1.0,0,5,930,47.6621,550000,645244.2264808363,2890
4,2.0,2.0,0,8,2360,47.6702,640000,579109.8082706766,1730
4,1.0,1.0,0,7,890,47.3341,240000,281194.8698060942,1620
4,2.5,2.0,0,8,2620,47.5301,605000,420895.47536945814,2620
4,2.5,2.0,0,9,2570,47.6145,625000,685675.8435374149,2470
4,2.25,1.0,0,8,2600,47.445,775000,464322.38976377953,4030
5,2.75,2.0,0,9,3595,47.6848,861990,677215.034739454,3625
3,1.0,2.0,0,7,1570,47.6413,685000,849714.8097826086,1580
3,1.0,1.0,0,6,920,47.4485,309000,353619.07472527475,1700
3,2.5,2.0,0,8,3160,47.7443,488000,424815.06315789477,3050
3,1.0,1.0,0,6,990,47.3066,210490,286742.81162324647,1228
4,2.5,2.0,0,9,2290,47.6194,785000,617254.0212765958,2680
